Id,FirstName,LastName,Name,Alias,Username,Email,Title,Department,TimeZoneSidKey,LocaleSidKey,LanguageLocaleKey,CreatedDate,IsActive
005BZsYjUUIsDKlY70,Danielle,Figueroa,Danielle B. Figueroa,fprynn-r,danielle-l.figueroa.0@crm.example.invalid,danielle.figueroa.2-4160@example.invalid,Business Analyst,Procurement,America/Los_Angeles,en_US,en_US,2022-04-24T19:16:50Z,1
005ztlrbFPcuOLhY8F,Colin,Munoz,Colin S. Munoz,erellor-,colin-c.munoz.1@crm.example.invalid,colin.munoz.0-9012@example.invalid,Solutions Architect,Finance,America/Chicago,en_US,en_US,2026-01-05T07:48:59Z,1
005yrzZ2QLuB1ZZYH4,George,Martin,George C. Martin,daldren-,george-t.martin.2@crm.example.invalid,george.martin.8-590@example.invalid,Account Director,Sales,America/New_York,en_US,en_US,2023-01-18T23:35:36Z,1
005lkwCvvs1NKzQIH0,Anna,Burgess,Anna C. Burgess,ccorven-,anna-k.burgess.3@crm.example.invalid,anna.burgess.2-616@example.invalid,Engineering Manager,Operations,America/Los_Angeles,en_US,en_US,2024-03-08T10:17:32Z,1
005krCc5IJC2wfdQ2P,Ryan,Smith,Ryan R. Smith,besmere-,ryan-b.smith.4@crm.example.invalid,ryan.smith.1-5555@example.invalid,Operations Lead,Procurement,America/Denver,en_US,en_US,2021-04-14T19:39:28Z,1
005TU4vqRu98dHsY03,Thomas,Baker,Thomas J. Baker,afarlowe,thomas-s.baker.5@crm.example.invalid,thomas.baker.8-5237@example.invalid,Customer Success Manager,Procurement,America/Chicago,en_US,en_US,2024-09-06T07:40:05Z,1
005saydhxcP28XWIZA,Todd,Cummings,Todd T. Cummings,vhollin-,todd-i.cummings.6@crm.example.invalid,todd.cummings.4-5186@example.invalid,Account Director,Sales,America/Chicago,en_US,en_US,2025-05-19T18:53:37Z,1
005vjh2ZrIRqrgrI2H,Corey,Novak,Corey M. Novak,tiverne-,corey-z.novak.7@crm.example.invalid,corey.novak.2-9747@example.invalid,Business Analyst,Sales,America/Los_Angeles,en_US,en_US,2023-08-04T15:30:45Z,1
005lhMYUKPuvXDoIO8,Casey,Leonard,Casey R. Leonard,skelmere,casey-q.leonard.8@crm.example.invalid,casey.leonard.0-2880@example.invalid,Operations Lead,Operations,America/Chicago,en_US,en_US,2021-11-11T02:26:15Z,1
005Nr8mKUnQ3oinATY,Christine,Jones,Christine T. Jones,rmavren-,christine-h.jones.9@crm.example.invalid,christine.jones.0-476@example.invalid,Operations Lead,Customer Success,America/Los_Angeles,en_US,en_US,2024-04-26T23:26:54Z,1
005si8rNhwYkQikIOL,Melissa,King,Melissa C. King,pnorrell,melissa-y.king.10@crm.example.invalid,melissa.king.81-7042@example.invalid,Product Manager,Finance,America/Chicago,en_US,en_US,2024-01-27T08:07:23Z,1
005wmbTnVpYGoJ1AGI,Rachel,Fleming,Rachel A. Fleming,oprynn-e,rachel-p.fleming.11@crm.example.invalid,rachel.fleming.74-0416@example.invalid,Customer Success Manager,Marketing,America/Denver,en_US,en_US,2024-11-10T05:50:06Z,1
005tKyHlBfQhoyvQRI,Mark,Rasmussen,Mark J. Rasmussen,nrellor-,mark-g.rasmussen.12@crm.example.invalid,mark.rasmussen.86-0348@example.invalid,Customer Success Manager,Sales,America/New_York,en_US,en_US,2024-05-03T21:28:13Z,1
005hp0uS7WWG0emI9I,Sara,Diaz,Sara N. Diaz,maldren-,sara-x.diaz.13@crm.example.invalid,sara.diaz.17-8677@example.invalid,Account Director,Operations,America/Los_Angeles,en_US,en_US,2023-03-28T03:15:20Z,1
005MO6uee3FgSiDAVG,Gene,Campbell,Gene T. Campbell,lcorven-,gene-o.campbell.14@crm.example.invalid,gene.campbell.85-2296@example.invalid,Account Director,Marketing,America/Chicago,en_US,en_US,2026-06-15T00:19:13Z,1
